price,bedrooms,bathrooms,floors
288000,3,1,1
190000,2,1,1
515000,5,3,1
235000,4,1.5,1
275000,2,1,1
727500,2,2,1
650000,4,2.5,2
1600000,6,5,2
365000,4,1,1.5
662000,3,1.75,1
270500,3,2.5,1
200000,2,1.5,2
970000,4,3.25,2
160000,3,1.5,1
204000,3,1,1
358000,3,2.25,2
452000,4,1.75,1
595000,2,2,1
249000,3,2,1
346900,4,2.5,2
2125000,3,2.5,2
280000,4,2.5,2
318888,4,1.75,1
530000,3,2.25,1
375000,3,2.25,2
910000,4,2.5,2
782000,4,2.5,2
259950,2,2,2
315000,4,2.75,1
215000,2,1,1
705000,3,1.75,1
1450000,3,3,2
451000,3,1.75,2
261000,2,1,1
396000,3,1.5,1
725000,4,2.5,2
1950000,7,3.5,2
238000,4,1,1.5
750000,6,1.75,2
331500,4,2.5,2
460000,4,3,1
404950,4,2.25,1
880000,3,2.5,2
863000,4,2.5,2
638700,3,1.75,1
435000,3,2.5,2
260000,3,1,1.5
671500,5,2.75,1.5
610000,3,1,1.5
405000,2,0.75,1
338900,4,2.5,2
720000,4,4,2
442000,5,3,1.5
650000,5,2.75,1.5
263500,3,1.75,1
300000,2,1,1
266000,3,2.5,2
930000,4,4,2.5
530000,4,2.5,2
180000,3,1,1
619000,3,2.5,2
264000,3,1.5,1
730000,2,2.25,1.5
439000,4,2.25,2
268500,4,1.75,1
330000,3,1.75,1
640000,3,2.5,1.5
900000,3,2.5,2
370000,3,2.25,2
685000,3,2,1.5
505000,3,1.5,1
265000,3,1.75,1
290000,3,2.5,2
296000,4,2.5,2
360000,4,2.5,2
240500,3,1.75,1
372500,2,2.5,2
595000,3,2.5,2
515000,4,3,2
1220000,4,2.25,2
507000,2,1.75,1
399950,4,2,1
185000,3,1.75,2
460000,3,1.75,1
435500,3,2.25,2
469000,4,2.75,1
531000,2,3,2
443500,2,1,1
223000,3,2,1
590000,4,3.5,2
340000,2,2.5,3
650000,3,2,1
533600,3,2.5,2
695000,3,2.75,2
242000,3,1.75,1.5
425000,3,2.25,1
525000,3,2.25,2
485000,3,2.5,2
175000,3,1,1
210000,3,2,1
260000,3,2.5,2
577000,3,2.5,1
200000,3,1.5,1
605000,2,1.75,1
325000,3,1,1
289500,3,1,1
559950,3,2.5,3
1042500,3,1.75,1
543500,3,2.25,1
480000,4,2.25,2
218000,3,1,1
565000,2,1.75,1
426700,3,1.75,1
650000,3,2.5,1
542000,2,1,1
415000,3,1.75,1
214000,3,1,1
245000,3,1.5,2
314500,3,2,1
1120000,3,1.5,2
378000,2,2,1
305000,4,2.5,1
595000,5,2.75,1
729500,3,2.5,3
430000,3,2.5,2
240000,3,1.75,1
545000,3,1.75,1.5
530000,3,1.75,1
157000,1,1,1
425000,4,1,1.5
220000,3,1,1
521000,4,1.75,1
325000,3,1,1
597500,3,2,1.5
337000,3,2.5,2
1000000,3,2.5,2
3070000,3,2.5,1
495000,3,1,1
748000,4,3.5,2
888000,3,1.5,1
269900,3,1.75,1
496500,4,2.5,1
475000,3,2.5,2
312000,3,1.5,3
323000,3,1,1
331000,3,1.75,1
306000,3,1.5,3
655000,4,2.5,3
290000,3,1.5,1
1250000,4,3.25,2
460000,3,1.75,1
435000,4,2.5,1
664000,4,2.75,1
865000,4,1.75,2
385000,3,1.75,1
497000,3,2.25,1
280000,2,1,1
188000,2,1.5,1
478500,3,1,1
1145000,4,3.5,2
222000,3,2,1
799000,4,3,2
609900,4,2.5,2
413000,4,3.5,2
400000,4,1,1.5
802541,5,2.75,2
320000,3,2.5,2
507000,4,2.5,2
387500,3,1,1
396000,3,1,1
373000,3,1.75,1
1484900,5,2.5,2
359900,4,2.25,2
410000,2,1,1
690000,4,2.5,2
245000,3,2,1
700000,5,2.5,1
268000,4,1.75,1
225000,3,1.75,1
980000,4,2.25,2
795000,2,1,1.5
195000,2,1,1
480000,4,2,1
485000,4,2,1
130000,2,1,1
325000,2,1,1
440000,3,1.75,1
550000,4,1.75,1
310000,3,1.75,1
530000,3,2.5,2
390000,4,2.5,2
243000,3,1.75,1
639000,4,2.5,2
215000,4,1,1
405000,5,1.75,1
250000,4,1.75,1
405500,3,1.5,1
452000,6,2.25,2
730000,6,2.25,2
267000,3,2,1
289950,3,2.5,2
565000,2,1,1
1578000,4,3.25,2
636000,3,2.5,2
350000,5,3,1
320000,3,1.5,1
210000,2,1.75,1
245000,2,1,1
328000,3,1.75,1
985000,4,2.25,2
501000,3,1.75,1
315000,3,2.25,2
403000,3,2.75,2
550000,3,2,2
347500,4,2.5,2
365000,4,2.25,2
588000,3,1,1
605000,3,1.75,1
1300000,3,3.25,2
233000,3,2,1
360000,4,2.5,2
459000,2,1.75,1
740000,3,2,1
305000,3,1,1
395000,3,1,1
560000,4,2.5,2
650000,4,1.75,1
449950,3,2.5,2
517500,3,1.5,1
435000,4,1.5,1
329999,3,1,1
950000,3,1.75,1
447000,3,1,1
699800,2,2.5,1
850000,3,1.75,1
316500,3,1.75,1
942500,5,3.5,1
1310000,2,2.25,2
856600,4,2.25,1
405600,5,1.5,2.5
565000,4,2.5,2
400000,3,2.25,2
330000,3,2,1
374950,4,2.75,2
405300,3,2.75,1
560000,3,2.25,2
824000,4,2.25,1
260000,3,1.75,1
760000,4,2.5,1
405000,3,2.5,2
429900,4,2.5,2
341500,3,1.5,1
465250,5,2,1.5
450000,2,2,1.5
390000,3,1,1
420000,3,2.25,1
269950,3,2.5,2
493000,4,2,1
370000,4,2.5,2
2250000,5,4.25,1.5
305000,3,1,1
400000,3,1.75,1.5
320000,3,1.5,2
715000,4,1,2
650000,6,2.75,1.5
218000,5,1.75,1
500000,2,1,1
460000,4,2,1
232500,3,1.5,1
408200,3,2.5,2
522000,3,1.75,1
675000,4,2.5,2
1355000,4,3.5,1
249950,4,1,1.5
210000,2,1,1
429950,4,1,1
737500,4,2.5,2
710000,4,2,1
470000,3,2.5,2
1100000,4,3.5,1
650000,3,2,1.5
1216000,4,2.5,1
422120,3,2.5,2
625000,5,2.5,2
385200,4,1,1.5
500000,3,2.25,2
308000,4,2.25,2
565000,3,2.75,1
581000,3,2.5,2
361000,3,2,1
345000,3,1,1
419000,2,2.25,2
347000,3,2.5,2
625000,4,2.25,2
2400000,4,4.25,2
379000,3,3.25,2.5
310000,3,1.5,2
250000,2,2,1
682000,5,2.75,2
246500,3,2,1
325000,3,1,1.5
310950,4,2.5,2
1100000,3,2,2
287500,3,1,1
431000,3,1,1
226000,3,1,1
825000,3,1.75,1.5
175000,4,1,1.5
465750,3,1.5,1
659000,4,2.25,2
595000,3,1.75,1
350000,3,2.25,2
270000,4,2.25,1
662500,6,2.25,1
249900,3,1.75,1
324500,3,1.75,1
430000,2,1.75,1
419950,2,1.75,1
285000,4,1.75,1
332000,4,2.5,2
282000,4,1.75,1
320000,3,1,1
428750,3,1,1.5
330000,3,2.25,2
456500,4,3.5,3
352000,3,2.25,1
664000,4,2,1.5
628000,3,1.75,1
512000,3,1.75,1
254000,3,2,1
535800,4,2.5,2
287653,3,1,1
438000,3,2.5,2
450000,4,1.75,1
327000,5,2.75,2
370500,4,2.5,2
265000,3,2.5,2
450000,4,2.75,1
425000,3,1,1.5
166600,3,1.75,1
245000,1,0.75,1
565000,3,1,1
539900,3,1.75,1
910000,3,3.5,2
280000,4,2.5,2
275000,3,2.25,2
467000,3,2.5,2
457500,3,2.5,2
381156,2,1,1
289999,5,2.5,1
642450,3,1.75,1
469950,3,2.25,1
795000,3,2,1
785000,4,2.5,2
860000,3,2.25,2
1095000,0,0,3.5
147500,3,1,1
390000,3,2,1
229000,3,1,1
185000,3,1,1
414900,3,1.5,1
200000,4,2,1
225000,4,2.25,1
720000,3,1.75,2
930000,4,2.5,2
1270000,5,2.5,1
700000,5,3.25,2
466000,2,1.5,3
374000,3,1.5,1
480000,3,2.5,2
740000,3,2.5,2
1010000,4,1,1.5
395000,4,2.5,2
340000,2,1,1
209000,3,2,2
431650,5,2.5,1.5
980000,5,2.5,1
660000,3,2.5,2
730000,4,2.25,2
291500,3,1.75,1
905000,4,3.5,2
800000,4,2.5,1.5
839900,4,3.5,1
200000,1,1.5,2
300000,3,2,1
530000,3,1.75,1.5
314950,3,2.25,2
255000,3,1.75,1
550000,5,2.75,1
435000,3,1,1
234000,3,1.75,1
615000,4,2.25,1
205000,3,2,1
384000,4,1.75,1
324000,3,2.5,2
645000,3,1.75,1
570000,3,3.25,2
324000,3,2.5,2
270000,2,1,1
290000,5,1.5,1.5
250000,3,2,1
342000,3,1.75,2
255000,3,1.5,1
800000,3,2.25,1
451000,3,1.75,1.5
990000,4,2.5,1
288400,4,2.5,1
420000,3,1.5,2
359000,2,2.75,2
390000,4,3,1
300000,3,2.5,2
545000,5,2.5,1
288349,3,1,1
299900,3,2.25,1
891000,4,2,1.5
1200000,3,2,1
378000,4,2.5,2
299995,2,1,1
253000,3,2.5,1
350000,3,2.25,1
565000,4,3,1.5
315000,2,1,1
570000,4,3,1.5
971000,5,3.5,2
915000,5,2.5,1.5
419000,4,1.5,1
260000,4,1.75,1
1321500,3,3,2
369950,3,1,1
1029900,3,2.5,2
435000,5,1,1.5
601000,3,1.75,1
460500,3,1,1
720000,3,2.5,3
851000,4,2.5,2
550000,4,3,2
700000,4,1,1.5
323000,3,1.75,1
345500,3,1,1
378000,4,1.5,1
650000,4,2,3
385000,3,2,1
425000,2,1,1
210000,4,2,1.5
630000,4,2.5,2
335000,3,1.75,1
196500,3,1,1
582800,4,2.75,1
440000,3,1.75,1
752500,4,2.25,2
532500,3,1.75,2
265000,3,1,1
397500,3,1.25,1
524250,3,2.5,2
765000,4,2.75,2
648000,4,2.5,2
469500,5,2.5,1
237500,3,1.75,1
216000,3,1,1
427200,3,1,1
280000,3,2.25,1
718000,5,3,1
420000,2,2.75,2
379000,2,1,1
326100,2,1,1
535000,3,2.5,3
283000,4,2.75,1
260000,3,1,1.5
399000,4,1,1.5
484950,3,2.25,2
640000,4,1.75,1
585000,4,2.5,1
645000,4,2,1
253000,3,2,1
178500,2,1,1
291000,4,2.5,2
199950,2,2.75,1.5
553500,2,1,1
189950,2,1,1
289000,3,2,1
700000,4,2,2
270000,3,2,1
258000,4,1.75,1
530000,3,2.5,2
245000,3,2.25,2
563000,3,2,1.5
515000,3,2.5,2
325000,4,2.5,2
540000,3,2.25,2
280300,2,1,1
460000,4,1.75,1.5
475000,3,1.75,1
900000,4,2.25,1
538200,4,3,1
429000,2,1,1
164808,3,1,1
520000,4,2.25,2
475000,3,1.75,1
283000,4,1.5,1
321500,4,2.5,2
840000,4,2.75,2
287000,3,2.25,2
375000,3,1.75,1
349500,3,1.75,1
446450,3,1.5,1
315000,4,2.5,2
271310,2,1,1.5
315000,4,1,1.5
245000,3,1.75,1
543115,2,1,1
900000,4,2,1.5
2450000,4,4.25,2
554000,2,2,1
249900,3,1.75,1
768000,3,2.5,2
980000,4,3,1
395000,5,2.5,1
415000,3,1.75,2
380000,4,2.5,2
566000,3,2.5,2
218500,2,1,1
550000,4,2.5,1
512031,3,1.75,1
197500,2,1,1
470000,3,2.25,1
590000,3,1.75,1
465000,4,2.25,1
499000,2,1.75,1
515000,3,2.25,1
716500,3,1.75,1
410000,3,2,1
850000,4,3.25,2
1050000,4,3.25,2
648000,4,2.5,2
620000,4,2.25,1.5
935000,4,4.5,2
379000,3,1,1
699000,3,1.75,1
528000,4,2.25,1
425000,3,1.75,1
249500,2,1.75,1
1035480,5,3.25,2
790000,4,2.75,1
399950,3,1,1
275000,3,1.5,1
550000,3,1,1.5
140000,1,1,1
250000,3,1,1
318000,3,2.25,2
505000,2,1,1
470500,5,2.5,1
360000,3,1,1.5
1242500,4,2.75,1
986000,3,2.5,1
515000,2,1,1
320000,3,1.75,1
310000,4,3,1
356700,2,1,1
775000,4,1.75,1
325000,3,1,1
208000,4,2.75,1.5
825000,2,1,1
515000,3,2.5,1
490000,3,1.5,1.5
675000,4,3,1
360000,4,2.5,1
550000,4,2.5,1
225000,3,1.5,1
500000,3,2.75,1.5
385000,4,2,1
837700,5,2.75,2
448000,3,2.25,2
730000,5,1.75,1
575000,4,1.5,1
430000,3,1.75,1
435000,3,2.5,2
241000,3,1,1
453500,2,1.75,1
285000,2,1.5,3
151000,2,1,1
1570000,5,4.5,2
631000,5,2,2
285000,2,2.5,2
195000,3,1,1
817500,4,2.5,2
550000,3,2,1
1127000,4,2.5,2
609850,2,2.75,3
200000,3,1,1
367000,4,2.5,2
285167,3,2.25,2
275000,2,1.5,1
350900,4,2.5,2
660000,4,3.25,2
525000,3,1.75,1
262000,4,2.5,2
690000,2,1,1
624000,5,3.75,2
353000,3,1,1
552500,4,3.5,2
224500,4,1,1.5
239000,3,1,1
975000,5,4.5,2
1200000,4,1.75,2
505000,3,1,1.5
302000,4,1.75,1
170000,3,1,1
195000,2,1,1
272000,5,1.5,1
369000,5,1.5,1
332500,3,1.5,1
515000,3,2.5,1
269000,3,1,1
1278000,4,4,1
303000,3,2.5,2
420000,7,3,1
400000,3,1,1
225000,3,1,1
219000,2,2,2
605000,3,2.5,2
625000,4,2,1
380000,5,2,1
620000,4,2,1.5
687500,4,2.75,2
225500,4,2,1
252500,3,2,1
510000,3,2.5,2
510000,4,2.5,2
725000,3,2.5,1.5
75000,1,0,1
492000,2,1,1
425000,4,2.5,1
1955000,4,2.75,1
298900,3,2.5,2
699000,4,2.5,2
310000,2,1,1
350000,3,1.75,1
790000,4,1.75,1
305000,4,2.5,2
315000,3,2.5,2
267500,5,3.5,2
1750000,4,3.25,2
435000,6,3.5,2
482500,6,4.5,1.5
5110800,5,5.25,2
439995,3,1.75,1
460000,3,3,1
194000,3,1,1
290000,2,0.75,1
274700,4,2,1
900000,4,2.5,2
1150000,4,4,2
605000,3,2.5,2
359000,3,2.5,2
850000,3,1.75,1
505000,3,2,2
565000,3,2.5,2
585000,2,1.75,1
328000,4,3.25,2
749950,4,2.75,1
826000,4,2.5,2
535000,3,1,1
925000,4,2.5,2
875000,3,3.5,2
902000,4,2.25,1
423000,3,1,1
235000,3,1,1
545000,2,2,1
343000,2,1,1
334950,3,2.5,2
405000,3,1.75,1
220000,4,1,1
173000,2,1,1
655000,3,1,1.5
406000,2,1,1
632000,6,2.5,1
357000,5,2.75,1
361000,3,1.75,1
277000,2,1,1
630000,4,3.75,1
254000,3,2.5,2
472800,3,2.25,1
263000,3,1.75,1
510000,3,1.75,1
179950,3,1,1
525000,4,2.25,1
479000,3,2.5,3
651000,3,2,1
949000,4,1.75,1
392400,5,2.5,1.5
585000,4,1.75,1
460000,4,2.5,2
470000,3,1,1
245000,3,2.5,2
500000,4,2,2
455000,3,2.5,2
485500,4,2.5,2
1875000,5,3.25,2
100000,2,1,1
307000,3,1.75,1
475000,4,3.5,2
330000,4,2.5,1
130000,3,1,1
320000,3,2.5,2
735000,4,2.5,2
365000,4,2.5,1
234000,3,1.5,1
211000,4,2,1.5
680000,6,3.5,2
457000,4,3,2
349000,3,2.25,2
360000,3,2.75,1
350000,4,2.5,2
208000,3,1,1
250275,2,1,1
435000,2,1,1
270000,3,1.75,1
438000,3,1.75,1
659000,4,2,2
645000,4,2.75,1
685100,4,2.5,2
350000,7,3,1
375000,2,1,1
170000,3,1.5,1
880000,4,2.5,3
410500,4,2.5,2
780000,4,2.5,2
1225000,5,4.5,2.5
449000,2,1.75,1
546000,3,1.75,1
317000,3,2,1
276900,3,1,1
399000,5,2,1
495000,5,2.75,1
258000,3,1.75,1
600000,2,2.5,1
265000,3,2.75,3
321000,5,2.75,1
682000,5,2.25,1.5
295700,4,2.5,2
609000,4,2.5,2
995000,3,4.5,2
530000,3,2.25,2
614000,5,2.5,2
390000,3,2.5,1
467000,3,2.5,2
484000,6,2.5,1
340000,3,2.5,3
302495,3,2.5,2
532500,3,1.75,1
441500,3,2.5,2
470000,4,2.5,1
2300000,4,3.25,2
590000,3,2.5,1
320000,3,1.75,1
363000,2,2,2
747500,4,2.25,2
750000,2,2.5,2
831000,4,3,2
403000,3,2.5,2
445000,3,2.5,2
345000,3,1,1
2260000,3,3.5,1
371025,3,2,1
355000,2,1,1
270000,3,1,1
425000,4,2.75,2
364808,3,1.75,1
320000,3,2.25,1
325000,4,2.5,2
350000,3,2.25,2
170000,3,1.5,1
255000,2,1,1
550000,3,1,1
835000,4,4.25,2
420000,3,1,1
925000,4,2.5,2.5
389250,2,1.5,1
748000,3,2.5,1
284000,3,1.75,1
588000,4,2,1
372500,3,1.75,1
285000,4,3,2
360000,3,1,1
275000,3,1,1
428000,2,2,1
847000,6,2.5,2
316000,3,1,1
375000,3,2.5,2
533000,3,1,1
556000,5,2.5,2
225000,4,2,1
537250,4,2.5,1
255000,3,1,1
530000,4,2.5,2
5300000,6,6,2
595000,3,2.75,2
548000,4,2,1
234975,3,1.75,1
